species_common_name,species_encoded,year,population,population_rolling_avg,population_rolling_std,population_cv,population_change_rate,population_relative_to_peak,population_relative_to_baseline,cumulative_change_rate,is_declining,is_growing,overall_trend_encoded,iucn_status_numeric,taxonomic_group_encoded,region_encoded,years_since_baseline,conservation_urgency,risk_level,risk_level_encoded,taxon_Aquatic Mammal,taxon_Bird,taxon_Mammal,taxon_Marine Mammal,taxon_Reptile,region_encoded,region_Africa,region_China,region_Global Oceans,region_India,region_North America,region_Usa,species_pop_mean,species_pop_std,species_pop_min,species_pop_max,species_change_mean,species_change_std,species_decline_years
African Elephant,0,1988,678100,747200.0,69100.0,0.09247858672376873,-9.247858672376875,0.5216153846153846,0.5216153846153846,-62.70795788220815,1,0,2.0,3,2,0,9,3.277435760171306,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,1989,609000,678100.0,69100.0,0.10190237428107947,-10.19023742810795,0.4684615384615385,0.4684615384615385,-72.8981953103161,1,0,2.0,3,2,0,10,3.305707122843238,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,1990,604167,630422.3333333334,41360.722870053105,0.065607959431513,-0.7935960591132996,0.4647438461538462,0.4647438461538462,-73.6917913694294,1,0,2.0,3,2,0,11,3.0238078817733993,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,1991,599333,604166.6666666666,4833.5000086205755,0.008000275876337504,-0.8001099033876358,0.4610253846153846,0.4610253846153846,-74.49190127281703,1,0,2.0,3,2,0,12,3.024003297101629,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,1992,594500,599333.3333333334,4833.5000086205755,0.008064794230178933,-0.806396444046964,0.4573076923076923,0.4573076923076923,-75.298297716864,1,0,2.0,3,2,0,13,3.024191893321409,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,1993,589667,594500.0,4833.000000000197,0.008129520605551213,-0.8129520605550833,0.45359,0.45359,-76.11124977741908,1,0,2.0,3,2,0,14,3.024388561816653,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,1994,584833,589666.6666666666,4833.5000086205755,0.008197003971657279,-0.8197847259554969,0.44987153846153843,0.44987153846153843,-76.93103450337458,1,0,2.0,3,2,0,15,3.024593541778665,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,1995,580000,584833.3333333334,4833.5000086205755,0.008264747806133782,-0.8263897557080346,0.4461538461538462,0.4461538461538462,-77.75742425908261,1,0,2.0,3,2,0,16,3.024791692671241,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,1996,568571,577801.3333333334,8350.973735639187,0.014453019150133237,-1.9705172413793104,0.4373623076923077,0.4373623076923077,-79.72794150046192,1,0,2.0,3,2,0,17,3.0591155172413793,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,1997,557143,568571.3333333334,11428.500003645975,0.02010038025773249,-2.0099512637823613,0.42857153846153845,0.42857153846153845,-81.73789276424428,1,0,2.0,3,2,0,18,3.0602985379134706,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,1998,545714,557142.6666666666,11428.500003645975,0.02051269932712502,-2.0513584483696334,0.41978,0.41978,-83.78925121261392,1,0,2.0,3,2,0,19,3.061540753451089,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,1999,534286,545714.3333333334,11428.500003645975,0.02094227566616839,-2.0941372220613763,0.4109892307692308,0.4109892307692308,-85.8833884346753,1,0,2.0,3,2,0,20,3.062824116661841,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2000,522857,534285.6666666666,11428.500003645975,0.021390242554973973,-2.1391165031462545,0.4021976923076923,0.4021976923076923,-88.02250493782155,1,0,2.0,3,2,0,21,3.064173495094388,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2001,511429,522857.3333333333,11428.500003645953,0.021857778929458036,-2.1856836572906158,0.3934069230769231,0.3934069230769231,-90.20818859511216,1,0,2.0,3,2,0,22,3.0655705097187185,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2002,500000,511428.6666666667,11428.500003645953,0.02234622489610011,-2.23471879772168,0.38461538461538464,0.38461538461538464,-92.44290739283385,1,0,2.0,3,2,0,23,3.0670415639316504,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2003,494400,501943.0,8679.178935821197,0.01729116440675773,-1.1199999999999988,0.3803076923076923,0.3803076923076923,-93.56290739283385,1,0,2.0,3,2,0,24,3.0336000000000003,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2004,488800,494400.0,5600.000000000213,0.011326860841424376,-1.132686084142398,0.376,0.376,-94.69559347697624,1,0,2.0,3,2,0,25,3.0339805825242716,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2005,483200,488800.0,5600.000000000213,0.011456628477905507,-1.1456628477905073,0.3716923076923077,0.3716923076923077,-95.84125632476675,1,0,2.0,3,2,0,26,3.0343698854337156,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
